City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.63,broken clouds,-23.1203,-134.9692,Pension Maro'i
2,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
4,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
8,Faanui,PF,81.66,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
10,Albany,US,69.8,broken clouds,42.6001,-73.9662,
15,Malartic,CA,71.6,broken clouds,48.1335,-78.1328,Camping Regional De Malartic
16,Atuona,PF,81.36,scattered clouds,-9.8,-139.0333,Villa Enata
18,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
22,Gizo,SB,81.07,moderate rain,-8.103,156.8419,Imagination Island
24,Goderich,CA,68.0,clear sky,43.7501,-81.7165,Harmony Inn
26,Padang,ID,77.0,overcast clouds,-0.9492,100.3543,Mercure Padang
27,Saint George,US,75.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
28,Mareeba,AU,73.4,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
29,Huarmey,PE,74.25,scattered clouds,-10.0681,-78.1522,Hotel Miramar
32,Amahai,ID,77.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
33,Carnarvon,AU,77.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
36,Vazante,BR,77.94,clear sky,-17.9869,-46.9078,Hotel Pousada e Restaurante
39,Temascalapa,MX,82.4,scattered clouds,19.8333,-98.9,Finca Los Marin
40,Kerema,PG,76.73,overcast clouds,-7.9631,145.7785,Frena Lodge
42,Puerto Ayora,EC,80.6,moderate rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Spring Hill,US,84.2,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
45,Jamestown,US,69.01,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Sao Filipe,CV,76.6,clear sky,14.8961,-24.4956,Tortuga B&B
50,Barra Patuca,HN,84.54,scattered clouds,15.8,-84.2833,
51,Cabo San Lucas,MX,93.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
55,Tulare,US,75.0,overcast clouds,36.2666,-118.8009,Puppy
57,Ukiah,US,66.2,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
58,Alofi,NU,77.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
62,Sabzevar,IR,68.99,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
65,Biak,ID,75.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
66,San Jose,US,68.0,few clouds,37.3394,-121.895,The Westin San Jose
68,Tambura,SS,78.73,broken clouds,5.6,27.4667,Rikito Lodge
69,Lexington,US,79.0,few clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
74,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
75,Hithadhoo,MV,82.76,clear sky,-0.6,73.0833,Scoop Guest House
78,Hermanus,ZA,66.0,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
79,Pisco,PE,73.99,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
82,Santa Rosalia,MX,78.75,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
84,Acari,PE,76.33,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
86,Berbera,SO,80.22,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
88,Touros,BR,86.0,clear sky,-5.1989,-35.4608,INN NEW HORIZON
90,Rocha,UY,67.17,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
91,Nileshwar,IN,79.95,broken clouds,12.25,75.1,Neeleshwar Hermitage
92,Victoria,HK,70.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
97,Nandgaon,IN,84.31,clear sky,20.3167,74.65,"Girl's hostel, Nandgaon"
98,Odweyne,SO,75.38,clear sky,9.4092,45.06399999999999,Eng Hiirey House
100,Ngunguru,NZ,66.0,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
102,Cape Town,ZA,68.0,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
103,Mar Del Plata,AR,68.0,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
105,Catuday,PH,77.86,few clouds,16.2923,119.8062,GResort
106,San Rafael Del Sur,NI,91.4,few clouds,11.8485,-86.4384,Hospedaje El Chino
109,Tezu,IN,67.6,overcast clouds,27.9167,96.1667,Circuit House
110,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
112,Longavi,CL,67.87,overcast clouds,-35.9667,-71.6833,
114,Miranda,CO,72.05,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
116,Santa Cruz,BO,86.0,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
121,Puerto Baquerizo Moreno,EC,77.0,light rain,-0.9,-89.6,Hotel los Algarrobos
125,Kavaratti,IN,82.35,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
