City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2021-04-11 22:20:29,-54.8,-68.3,50.0,53,75,18.41,broken clouds
1,Punta Arenas,CL,2021-04-11 22:17:34,-53.15,-70.9167,55.4,38,0,11.5,clear sky
2,Rikitea,PF,2021-04-11 22:20:30,-23.1203,-134.9692,78.3,74,7,8.19,light rain
3,Kundiawa,PG,2021-04-11 22:20:30,-6.0167,144.9667,63.72,95,100,1.92,overcast clouds
4,Bredasdorp,ZA,2021-04-11 22:20:30,-34.5322,20.0403,57.2,94,100,1.14,overcast clouds
5,Pirapora Do Bom Jesus,BR,2021-04-11 22:20:30,-23.3969,-47.0022,77.0,44,0,3.44,clear sky
6,Kysyl-Syr,RU,2021-04-11 22:20:31,63.8986,122.7617,-3.39,90,21,4.25,few clouds
7,Taboc,PH,2021-04-11 22:20:31,8.8783,124.7975,73.99,88,94,5.01,overcast clouds
8,Mar Del Plata,AR,2021-04-11 22:19:24,-38.0023,-57.5575,64.0,72,0,3.44,clear sky
9,Hobart,AU,2021-04-11 22:20:18,-42.8794,147.3294,50.0,76,75,10.36,broken clouds
10,Kapaa,US,2021-04-11 22:20:31,22.0752,-159.319,77.0,61,75,16.11,light rain
11,Ponta Do Sol,PT,2021-04-11 22:20:32,32.6667,-17.1,63.0,81,100,1.01,overcast clouds
12,Labuhan,ID,2021-04-11 22:20:32,-6.8844,112.2051,77.52,86,54,4.72,broken clouds
13,Lebu,CL,2021-04-11 22:17:15,-37.6167,-73.65,58.26,82,0,12.84,clear sky
14,Avera,US,2021-04-11 22:17:40,33.194,-82.5271,78.8,57,1,12.66,clear sky
15,Arraial Do Cabo,BR,2021-04-11 22:20:32,-22.9661,-42.0278,78.8,78,0,9.22,clear sky
16,Saint-Philippe,RE,2021-04-11 22:20:33,-21.3585,55.7679,77.0,73,0,4.61,clear sky
17,Avarua,CK,2021-04-11 22:20:33,-21.2078,-159.775,82.4,78,35,6.91,moderate rain
18,Neuquen,AR,2021-04-11 22:19:14,-38.9516,-68.0591,73.4,40,0,4.61,clear sky
19,Mataura,NZ,2021-04-11 22:20:33,-46.1927,168.8643,55.99,97,86,8.01,overcast clouds
20,Leningradskiy,RU,2021-04-11 22:20:33,69.3833,178.4167,-5.04,83,9,5.82,clear sky
21,Stonewall,CA,2021-04-11 22:20:34,50.1344,-97.3268,48.2,57,90,17.27,overcast clouds
22,Caravelas,BR,2021-04-11 22:20:34,-17.7125,-39.2481,75.11,81,13,5.08,few clouds
23,Butaritari,KI,2021-04-11 22:20:34,3.0707,172.7902,81.19,77,31,9.51,scattered clouds
24,Egvekinot,RU,2021-04-11 22:20:34,66.3167,-179.1667,-4.25,78,100,22.44,overcast clouds
25,Clyde River,CA,2021-04-11 22:17:01,70.4692,-68.5914,28.4,74,20,3.44,few clouds
26,Panambi,BR,2021-04-11 22:16:40,-28.2925,-53.5017,67.71,95,89,16.55,overcast clouds
27,Bambous Virieux,MU,2021-04-11 22:16:43,-20.3428,57.7575,78.01,94,75,6.91,broken clouds
28,Jamestown,US,2021-04-11 22:20:35,42.097,-79.2353,64.4,52,1,6.91,clear sky
29,Sakakah,SA,2021-04-11 22:20:35,29.9697,40.2064,59.0,25,0,3.44,clear sky
30,Busselton,AU,2021-04-11 22:20:35,-33.65,115.3333,61.0,99,100,12.97,light rain
31,Bluff,NZ,2021-04-11 22:20:36,-46.6,168.3333,55.99,97,31,8.01,scattered clouds
32,Faanui,PF,2021-04-11 22:18:07,-16.4833,-151.75,82.42,70,100,10.78,overcast clouds
33,Charcas,MX,2021-04-11 22:20:36,23.1333,-101.1167,84.25,3,46,13.62,scattered clouds
34,Hirara,JP,2021-04-11 22:20:36,24.8,125.2833,71.6,83,75,8.05,broken clouds
35,Lianran,CN,2021-04-11 22:20:37,24.9227,102.485,53.6,82,0,6.71,clear sky
36,Barrow,US,2021-04-11 22:16:02,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
37,Sarkand,KZ,2021-04-11 22:20:37,45.41,79.9186,46.27,46,0,5.57,clear sky
38,Ust-Nera,RU,2021-04-11 22:19:57,64.5667,143.2,-9.08,97,100,6.73,overcast clouds
39,Dingle,PH,2021-04-11 22:20:37,10.9995,122.6711,74.89,87,99,5.26,overcast clouds
40,Narsaq,GL,2021-04-11 22:16:53,60.9167,-46.05,48.2,29,0,13.8,clear sky
41,Ribeira Grande,PT,2021-04-11 22:16:37,38.5167,-28.7,63.07,83,93,12.71,overcast clouds
42,Albany,US,2021-04-11 22:18:19,42.6001,-73.9662,61.0,74,100,10.65,light rain
43,Mogadishu,SO,2021-04-11 22:20:38,2.0371,45.3438,81.75,71,99,13.87,overcast clouds
44,Gladstone,AU,2021-04-11 22:20:38,-23.85,151.25,66.2,34,0,11.5,light rain
45,Severo-Kurilsk,RU,2021-04-11 22:20:38,50.6789,156.125,35.11,76,81,6.33,broken clouds
46,Oranjemund,NA,2021-04-11 22:20:39,-28.55,16.4333,63.05,74,0,4.05,clear sky
47,Cidreira,BR,2021-04-11 22:19:23,-30.1811,-50.2056,82.53,57,85,9.44,overcast clouds
48,Karratha,AU,2021-04-11 22:20:39,-20.7377,116.8463,82.27,78,59,6.31,broken clouds
49,Zaysan,KZ,2021-04-11 22:20:39,47.4667,84.8667,40.32,35,0,4.16,clear sky
50,Palmas Bellas,PA,2021-04-11 22:20:40,9.2319,-80.0867,86.0,67,46,4.0,scattered clouds
51,Guerrero Negro,MX,2021-04-11 22:20:40,27.9769,-114.0611,66.06,61,99,17.18,overcast clouds
52,Tiksi,RU,2021-04-11 22:16:38,71.6872,128.8694,6.58,68,100,7.87,overcast clouds
53,Hermanus,ZA,2021-04-11 22:20:40,-34.4187,19.2345,64.99,83,100,4.0,overcast clouds
54,Altamira,BR,2021-04-11 22:20:40,-3.2033,-52.2064,80.6,89,40,2.3,moderate rain
55,Leshukonskoye,RU,2021-04-11 22:20:41,64.8989,45.7622,34.72,76,16,14.81,few clouds
56,Sparti,GR,2021-04-11 22:20:41,37.0733,22.4297,54.0,87,0,3.44,clear sky
57,Kodiak,US,2021-04-11 22:20:41,57.79,-152.4072,39.2,87,90,17.27,moderate rain
58,Cape Town,ZA,2021-04-11 22:20:41,-33.9258,18.4232,64.99,94,0,12.66,clear sky
59,Los Llanos De Aridane,ES,2021-04-11 22:20:42,28.6585,-17.9182,68.0,73,0,3.8,clear sky
60,Rudnogorsk,RU,2021-04-11 22:20:42,57.2639,103.7519,22.84,96,100,4.72,light snow
61,Whitianga,NZ,2021-04-11 22:20:42,-36.8333,175.7,73.0,92,97,3.85,overcast clouds
62,New Norfolk,AU,2021-04-11 22:16:58,-42.7826,147.0587,48.99,81,100,1.92,overcast clouds
63,Key West,US,2021-04-11 22:20:43,24.5557,-81.7826,84.2,70,40,5.75,scattered clouds
64,Sao Joao Da Barra,BR,2021-04-11 22:20:43,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
65,Charters Towers,AU,2021-04-11 22:20:43,-20.1,146.2667,70.5,44,1,17.52,clear sky
66,Tuktoyaktuk,CA,2021-04-11 22:20:44,69.4541,-133.0374,-5.8,71,1,9.22,clear sky
67,Akyab,MM,2021-04-11 22:20:44,20.15,92.9,78.12,86,13,5.66,few clouds
68,Yellowknife,CA,2021-04-11 22:20:44,62.456,-114.3525,10.0,66,90,5.75,light snow
69,Teahupoo,PF,2021-04-11 22:20:44,-17.8333,-149.2667,86.0,66,75,14.97,broken clouds
70,Makasar,ID,2021-04-11 22:17:07,-5.14,119.4221,69.8,100,20,3.44,few clouds
71,Salalah,OM,2021-04-11 22:20:45,17.0151,54.0924,80.6,74,20,2.3,few clouds
72,Sturgeon Falls,CA,2021-04-11 22:20:45,46.3646,-79.9326,66.2,45,90,14.97,overcast clouds
73,Luderitz,NA,2021-04-11 22:20:45,-26.6481,15.1594,72.41,49,0,5.91,clear sky
74,Port Lincoln,AU,2021-04-11 22:16:59,-34.7333,135.8667,60.42,62,100,15.61,overcast clouds
75,Port Elizabeth,ZA,2021-04-11 22:20:46,-33.918,25.5701,60.8,100,40,3.44,scattered clouds
76,Plettenberg Bay,ZA,2021-04-11 22:20:46,-34.0527,23.3716,61.86,85,81,3.69,broken clouds
77,Dumlan,PH,2021-04-11 22:20:46,7.4275,125.8819,75.2,100,75,3.44,broken clouds
78,Port Alfred,ZA,2021-04-11 22:17:09,-33.5906,26.891,66.16,91,83,3.69,broken clouds
79,Manokwari,ID,2021-04-11 22:20:46,-0.8667,134.0833,78.06,78,95,3.94,overcast clouds
80,Okuchi,JP,2021-04-11 22:20:47,32.0667,130.6167,59.0,88,75,11.5,broken clouds
81,Khatanga,RU,2021-04-11 22:20:47,71.9667,102.5,16.11,84,98,11.25,overcast clouds
82,Atuona,PF,2021-04-11 22:15:54,-9.8,-139.0333,80.56,78,17,17.67,few clouds
83,Chuy,UY,2021-04-11 22:20:47,-33.6971,-53.4616,63.84,78,95,18.9,overcast clouds
